Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Karris Scott,District of Columbia,East Coast,G,71,So,15,272,18.1,1.5,4.4,0.348,0.2,1.2,0.167,0.3,0.5,0.571,53,3.5,12,14,26,1.7,2.1,44,51,21,2,2.933333333333333,1.4,0.9333333333333332,0.8,0.1333333333333333,3.4,0.3636363636363636,0.2727272727272727,0.8627450980392157,0.1136363636363636,5.735930735930736,0.204485294117647,7.794117647058823,3.8235294117647056,6.470588235294118,3.088235294117647,0.2941176470588235,7.5,-2.5408890957613384,4.955554565479796,-2.9826225209673396,0.8680021975017271
Chris Smith,District of Columbia,East Coast,F,80,Sr,21,248,11.8,1.4,3.3,0.414,0.0,0.1,0.0,0.7,1.1,0.625,74,3.5,17,42,59,2.8,2.3,14,18,7,23,0.6666666666666666,0.3333333333333333,2.0,0.8095238095238095,1.0952380952380951,0.8571428571428571,0.4242424242424242,0.0303030303030303,0.7777777777777778,0.3333333333333333,9.778012684989427,0.0878387096774193,11.935483870967742,9.516129032258064,2.258064516129032,1.129032258064516,3.709677419354839,2.903225806451613,2.4515801845632095,0.11504544904160664,-2.5259015897488326,-1.1621458595294158
Kohen Rowbatham,Mercy College,East Coast,F,72,So,24,862,35.9,7.9,19.3,0.408,1.6,5.2,0.304,3.2,4.7,0.673,492,20.5,24,65,89,3.7,2.5,62,83,25,5,2.5833333333333335,1.0416666666666667,2.7083333333333335,1.0,0.2083333333333333,3.4583333333333335,0.4507772020725389,0.2694300518134715,0.7469879518072289,0.2435233160621761,11.512542119056532,0.12107656612529,22.830626450116007,4.129930394431555,2.877030162412993,1.160092807424594,0.2320185614849187,3.851508120649652,-0.16119497415428305,1.2601944888155316,0.4580697685692697,2.0922398057689886
T.J. Holloway,Mercy College,East Coast,G,76,Sr,26,918,35.3,5.3,14.2,0.371,1.6,4.6,0.345,3.9,4.7,0.843,416,16.0,26,114,140,5.4,1.7,44,67,14,5,1.6923076923076923,0.5384615384615384,4.384615384615385,1.0,0.1923076923076923,2.576923076923077,0.4295774647887324,0.323943661971831,0.6567164179104478,0.3309859154929577,12.785837226456849,0.0907058823529411,18.12636165577342,6.1002178649237475,1.9172113289760349,0.6100217864923747,0.2178649237472767,2.9193899782135073,0.9288179806931427,-0.08823167548185468,0.6932148825857452,1.2238581809725735
Jordan Trahan,Mercy College,East Coast,G,77,Jr.,22,768,34.9,5.5,13.0,0.421,0.6,2.5,0.236,4.0,6.8,0.593,341,15.5,37,103,140,6.4,2.6,46,69,58,9,2.090909090909091,2.636363636363636,4.681818181818182,1.681818181818182,0.4090909090909091,3.136363636363636,0.4461538461538461,0.1923076923076923,0.6666666666666666,0.5230769230769231,10.661580790395195,0.1106666666666666,17.760416666666668,7.291666666666666,2.3958333333333335,3.020833333333333,0.46875,3.59375,1.6039275739612948,2.6800131786807855,0.2707417560721501,0.8825307125130847
Ashton Pratt,Mercy College,East Coast,G,73,Jr.,26,728,28.0,2.7,7.0,0.392,0.8,2.4,0.349,1.4,1.7,0.822,200,7.7,26,47,73,2.8,2.6,37,30,25,7,1.4230769230769231,0.9615384615384616,1.8076923076923077,1.0,0.2692307692307692,1.1538461538461535,0.4428571428571429,0.3428571428571428,1.2333333333333334,0.2428571428571428,12.906556530717603,0.0518516483516483,10.989010989010987,4.010989010989011,2.032967032967033,1.3736263736263736,0.3846153846153846,1.6483516483516485,-0.873415413003377,-0.6709374711846576,-0.004495300479075735,-0.4627330500796429
Chris Nana,Mercy College,East Coast,G/F,77,Jr.,22,310,14.1,1.3,2.3,0.549,0.1,0.3,0.333,0.4,0.5,0.9,66,3.0,18,37,55,2.5,1.8,12,12,5,9,0.5454545454545454,0.2272727272727272,1.681818181818182,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.5869565217391305,0.1304347826086956,1.0,0.2173913043478261,13.095238095238097,0.0468387096774193,8.516129032258064,7.096774193548388,1.5483870967741935,0.6451612903225806,1.1612903225806452,1.5483870967741935,0.4290596203252427,-1.5701070735820748,-0.982709001687308,-1.1115749651372633
Tyrell Miller,Mercy College,East Coast,F/C,79,Fr,24,468,19.5,1.3,2.9,0.449,0.0,0.0,0.0,0.3,1.1,0.259,70,2.9,48,74,122,5.2,3.7,7,23,23,46,0.2916666666666667,0.9583333333333334,3.0833333333333335,2.0,1.9166666666666667,0.9583333333333334,0.4482758620689655,0.0,0.3043478260869565,0.3793103448275862,10.342789598108748,0.0563760683760683,5.982905982905983,10.427350427350428,0.5982905982905983,1.9658119658119655,3.931623931623931,1.9658119658119655,3.753678233329546,-0.28057333427807263,-2.5834591011824486,-1.8469305545403323
Joshua Naklen,Mercy College,East Coast,G,70,So,22,293,13.3,1.0,3.1,0.324,0.1,0.4,0.333,0.5,0.6,0.857,59,2.7,13,20,33,1.5,1.5,23,18,12,0,1.0454545454545454,0.5454545454545454,0.9090909090909092,0.5909090909090909,0.0,0.8181818181818182,0.3387096774193548,0.1290322580645161,1.2777777777777777,0.1935483870967742,8.769322235434007,0.072914675767918,8.054607508532424,4.505119453924914,3.1399317406143346,1.6382252559726962,0.0,2.4573378839590445,-1.9953978520766515,0.4744286468576599,-0.9197220409792913,-0.7111505848578585
James Connolly,Mercy College,East Coast,G,76,So,25,305,12.2,1.0,2.0,0.48,0.1,0.3,0.375,0.6,0.8,0.667,65,2.6,18,38,56,2.2,0.9,9,9,7,5,0.36,0.28,1.52,0.72,0.2,0.36,0.525,0.15,1.0,0.4,13.818027210884354,0.0372196721311475,8.524590163934425,7.3442622950819665,1.180327868852459,0.9180327868852458,0.6557377049180328,1.180327868852459,0.23277518335699926,-1.444900779743637,-0.6507454666653113,-1.1010499714800346
Jeffrey Mulhern,Mercy College,East Coast,F,77,Fr,21,214,10.2,0.7,2.3,0.292,0.2,0.9,0.278,0.3,0.4,0.667,40,1.9,13,34,47,2.1,1.3,2,9,2,0,0.0952380952380952,0.0952380952380952,1.619047619047619,0.6190476190476191,0.0,0.4285714285714285,0.3478260869565217,0.391304347826087,0.2222222222222222,0.1739130434782609,8.077544426494345,0.053626168224299,7.4766355140186915,8.785046728971963,0.3738317757009345,0.3738317757009345,0.0,1.6822429906542056,-0.1971719578265797,-2.6106285381421115,-1.5309070886513487,0.39708193314369616
